lat,lon,osmid,ref,highway,elevation,elevation_res
47.6385371,-122.3226326,29445663,168B,motorway_junction,59.8,4.77
47.6433095,-122.3089121,29447670,NA,motorway_junction,9.45,4.77
47.6429344,-122.3167745,29449412,NA,motorway_junction,24.64,4.77
47.6434441,-122.3087413,29449421,NA,NA,6.15,4.77
47.6427791,-122.3192423,29449538,NA,motorway_junction,41.99,4.77
47.6440274,-122.3040678,29449863,NA,traffic_signals,17.01,4.77
47.6449077,-122.3047492,29463657,NA,NA,19.99,4.77
47.6436552,-122.3047267,29464222,NA,NA,17.64,4.77
47.6440038,-122.3042005,29464223,NA,traffic_signals,18.59,4.77
47.6583247,-122.3014251,29464742,NA,NA,13.69,4.77
47.6560111,-122.3021215,29464746,NA,NA,14.81,4.77
47.651066,-122.3038856,29464754,NA,traffic_signals,19.65,4.77
47.6495139,-122.3045452,29464758,NA,NA,21.76,4.77
47.6456237,-122.32196450000001,29484750,NA,NA,47.45,4.77
47.6467065,-122.3228931,29484769,168A,motorway_junction,40.75,4.77
47.6431936,-122.323411,29484774,NA,traffic_signals,45.8,4.77
47.6458315,-122.3229644,29484785,168B,motorway_junction,43.94,4.77
47.6373044,-122.3232611,29484789,NA,NA,55.23,4.77
47.6562897,-122.3223299,29484936,169,motorway_junction,28.98,4.77
47.6584193,-122.3219713,29485034,NA,motorway_junction,51.04,4.77
47.6603323,-122.3211533,29485040,NA,NA,53.14,4.77
47.6605012,-122.3209354,29485041,NA,NA,54.34,4.77
47.6608602,-122.3208069,29485042,NA,NA,57.02,4.77
47.6649544,-122.3207248,29485217,NA,traffic_signals,70.84,4.77
47.6447309,-122.3224728,29485641,NA,NA,42.29,4.77
47.6431968,-122.3220976,29545020,NA,traffic_signals,49.65,4.77
47.6659028,-122.3217828,29545387,NA,NA,65.84,4.77
47.668784,-122.32173,29545397,NA,NA,68.42,4.77
47.6575155,-122.3208338,29545412,NA,traffic_signals,32.38,4.77
47.6613404,-122.3228626,29545415,NA,traffic_signals,65.81,4.77
47.660799,-122.3224942,29545421,NA,NA,54.05,4.77
47.6649676,-122.3228647,29545426,NA,traffic_signals,72.16,4.77
47.6620179,-122.3228629,29545427,NA,NA,68.44,4.77
47.6556961,-122.3224548,29545445,NA,NA,20.63,4.77
47.6698218,-122.3217291,29545461,170,motorway_junction,67.08,4.77
47.6710859,-122.3222429,29545469,169,motorway_junction,64.8,4.77
47.6652838,-122.3207271,29545473,NA,NA,72.35,4.77
47.6679867,-122.3225731,29545479,NA,motorway_junction,68.13,4.77
47.661721,-122.3207388,29545490,NA,NA,61.21,4.77
47.6420186,-122.3832665,29938030,NA,NA,5.02,4.77
